parallax,gaia_magnitude,teff
0.020054000181794027,11.055527,3968.8131851731196
0.020054921370606906,10.588343,4246.377133777322
0.020055237823824828,12.274226,3643.2650714275737
0.02005524211023321,9.705593,4875.4417847491195
0.020055893130033055,9.099756,4929.181349710615
0.020055948067096298,10.536569,4404.258124790592
0.020056428747833612,12.918356,3409.655896241473
0.020056672617616775,11.477556,3725.1223890444776
0.020056797282632967,10.328116,4311.335438285942
0.02005713949887293,12.099108,3462.6434223811657
0.020057311551165583,12.687015,3504.5807783853093
0.02005748541015773,13.491459,3235.47844361513
0.020058020451758574,13.695008,3285.5808529316264
0.02005824970498009,12.031959,3825.5718230026205
0.020059051617076527,13.482232,3229.236160004324
0.020059288800257136,13.746344,3102.188587604298
0.020060027433527642,13.533705,3219.5107913437355
0.020060217630950696,13.805565,3025.4888024143947
