name,mass,radius
NGTS-21 b,750.07504,14.908
NGTS-23 b,194.82881,14.202
NGTS-24 b,165.27077,13.608
NGTS-25 b,203.09235,11.467
NGTS-3 A b,756.4354,16.589
NGTS-4 b,20.6,3.18
NGTS-5 b,72.78307,12.733
NGTS-6 b,425.57437,14.863
NGTS-8 b,295.5819,12.218
NGTS-9 b,921.707,11.994
OGLE-TR-10 b,197.046,14.011
OGLE-TR-113 b,400.449,12.251
OGLE-TR-132 b,375.02,13.45
OGLE-TR-182 b,320.995,12.666
OGLE-TR-211 b,327.351,15.244
OGLE-TR-56 b,441.77,15.278
Qatar-1 b,411.27202,12.812
Qatar-10 b,233.92288,17.295
Qatar-2 b,792.635,14.056
Qatar-3 b,1369.8473,12.285
Qatar-4 b,1938.763,12.722
Qatar-5 b,1373.0256,12.408
Qatar-6 b,212.31044,11.904
Qatar-7 b,597.5204,19.055
Qatar-8 b,117.91493,14.404
Qatar-9 b,378.2177,11.31
TIC 237913194 b,617.22586,12.52
TIC 257060897 b,212.94503,16.701
TIC 279401253 b,1951.46642,11.209
TOI-1062 b,10.15,2.265
TOI-1064 b,13.5,2.587
TOI-1075 b,9.95,1.791
TOI-1107 b,1064.72516,14.572
TOI-1130 c,309.56642,16.814
TOI-1181 b,375.03752,14.572
TOI-1201 b,6.28,2.415
TOI-1231 b,15.4,3.65
TOI-1235 b,5.9,1.694
TOI-1246 b,8.1,3.01
TOI-1246 c,8.8,2.51
TOI-1246 e,14.8,3.78
TOI-125 b,9.5,2.726
TOI-125 c,6.63,2.759
TOI-125 d,13.6,2.93
TOI-1259 A b,140.16233,11.456
TOI-1260 b,8.56,2.41
TOI-1268 b,96.4,9.1
TOI-1272 b,24.6,4.14
TOI-1278 b,5879.82553,12.218
TOI-1288 b,42.0,5.24
TOI-1296 b,94.71287,13.798
TOI-1298 b,113.14691,9.427
TOI-132 b,22.4,3.42
TOI-1333 b,753.2571,15.648
TOI-1416 b,3.48,1.62
TOI-1422 b,9.0,3.96
TOI-1431 b,991.62463,16.701
TOI-1444 b,3.87,1.397
TOI-1452 b,4.82,1.672
TOI-1468 b,3.21,1.28
TOI-1468 c,6.64,2.064
TOI-1478 b,270.47333,11.882
TOI-150.01,797.7533,14.067
TOI-1516 b,1004.33777,15.244
TOI-157 b,375.0394,14.415
TOI-1601 b,314.6517,13.888
TOI-163 b,387.7526,16.69
TOI-1634 b,4.91,1.79
TOI-1670 c,200.2319,11.063
TOI-1685 b,3.78,1.7
TOI-169 b,251.40353,12.173
TOI-1694 b,26.1,5.44
TOI-1695 b,6.36,1.9
TOI-1710 b,28.3,5.34
TOI-172 b,1722.6386,10.817
TOI-1728 b,26.78,5.05
TOI-1759 b,10.8,3.14
TOI-178 b,1.5,1.152
TOI-178 c,4.77,1.669
TOI-178 e,3.86,2.207
TOI-178 f,7.72,2.287
TOI-1789 b,222.47988,16.141
TOI-181 b,46.1687,6.956
TOI-1811 b,308.92921,11.142
TOI-1820 b,731.00534,12.778
TOI-1842 b,68.01528,11.657
TOI-1899 b,209.7678,12.89
TOI-1937 A b,638.8351,13.978
TOI-201 b,133.4886,11.299
TOI-2025 b,1144.18227,11.893
TOI-2046 b,731.00534,16.141
TOI-2109 b,1595.4986,15.098
TOI-2145 b,1671.77742,11.982
TOI-2152 A b,899.45439,14.359
TOI-2154 b,292.40213,16.287
TOI-2158 b,260.61929,10.761
TOI-216.01,177.98391,10.1
TOI-216.02,18.75188,8.0
TOI-2184 b,206.58846,11.4
TOI-2196 b,26.0,3.51
TOI-220 b,13.8,3.03
